Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2009-05-26,16.148163,16.658058,16.139295,16.573815,688200.0,,
2009-05-25,16.219105,16.219105,16.219105,16.219105,0.0,,
2009-05-22,16.125994,16.369857,16.103824,16.219105,645200.0,,
2009-05-21,16.285613,16.471836,16.010713,16.125994,718200.0,,
2009-05-20,16.059486,16.529476,15.961941,16.383158,1565400.0,,
2009-05-19,15.828924,16.086089,15.828924,15.944205,925600.0,,
2009-05-18,15.611665,15.775718,15.363368,15.775718,738200.0,,
2009-05-15,15.76685,15.793453,15.474215,15.514119,1065400.0,,
2009-05-14,15.873263,16.028449,15.740247,15.842226,811000.0,0.997198,17.0
2009-05-13,15.92606,15.961431,15.718251,15.780152,793800.0,,
2009-05-12,15.881845,16.036596,15.802259,15.873002,743600.0,,
2009-05-11,15.80668,15.934902,15.735937,15.766887,896800.0,,
2009-05-08,16.094075,16.209032,15.92606,16.045439,907400.0,,
2009-05-07,15.638665,16.217875,15.519286,16.08081,1153000.0,,
2009-05-06,15.607715,15.696144,15.492758,15.563501,927800.0,,
2009-05-05,15.532551,15.793416,15.466229,15.528129,1223600.0,,
2009-05-04,15.333585,15.519286,15.161149,15.519286,1011800.0,,
2009-05-01,14.89144,15.253999,14.856069,15.187678,1185800.0,,
2009-04-30,15.413171,15.466229,14.811854,14.873755,1980800.0,,
2009-04-29,15.559079,15.559079,15.267264,15.355693,1303800.0,,
2009-04-28,15.417593,15.62098,15.329164,15.430857,937800.0,,
2009-04-27,15.090406,15.749202,15.001977,15.585608,1355000.0,,
2009-04-24,15.696144,15.930481,15.10367,15.289371,2064400.0,,
2009-04-23,15.873002,16.010067,14.953341,15.656351,1719800.0,,
2009-04-22,15.152306,15.669616,15.055034,15.364536,1380600.0,,
2009-04-21,15.338007,15.475072,15.032927,15.284949,1214200.0,,
2009-04-20,15.3159,15.603294,15.236314,15.338007,1066000.0,,
2009-04-17,15.771309,15.771309,15.187678,15.404329,1776800.0,,
2009-04-16,14.528882,15.024084,14.475824,14.966605,1013200.0,,
2009-04-15,14.546567,14.696897,14.312231,14.542146,826600.0,,
2009-04-14,14.714583,14.714583,14.497932,14.648261,730000.0,,
2009-04-13,14.608468,14.811854,14.480246,14.710161,723000.0,,
2009-04-10,14.626154,14.626154,14.626154,14.626154,0.0,,
2009-04-09,14.701318,14.701318,14.511196,14.626154,950200.0,,
2009-04-08,14.365288,14.55541,14.201694,14.40066,646000.0,,
2009-04-07,14.391817,14.595203,14.245909,14.374131,743000.0,,
2009-04-06,14.369709,14.679211,14.365288,14.506774,756800.0,,
2009-04-03,14.895862,14.895862,14.360867,14.489089,899000.0,,
2009-04-02,14.727847,14.979869,14.714583,14.825119,998200.0,,
2009-04-01,14.307809,14.520039,14.077894,14.471403,927600.0,,
2009-03-31,14.276859,14.785326,14.223802,14.440453,1434200.0,,
2009-03-30,14.060208,14.285702,13.927565,14.263595,949800.0,,
2009-03-27,14.294545,14.356445,14.12653,14.276859,977200.0,,
2009-03-26,14.360867,14.475824,14.241487,14.453717,748400.0,,
2009-03-25,14.175166,14.475824,14.135373,14.312231,788000.0,,
2009-03-24,13.870086,14.259173,13.856821,14.170744,987600.0,,
2009-03-23,13.724178,14.077894,13.587113,14.055787,1201600.0,,
2009-03-20,13.57827,13.618063,13.392569,13.520791,1868000.0,,
2009-03-19,13.8524,13.94525,13.268769,13.472155,853800.0,,
2009-03-18,13.750707,13.993886,13.622485,13.794921,886600.0,,
2009-03-17,13.57827,13.878929,13.401412,13.878929,783600.0,,
2009-03-16,13.887772,14.020415,13.503105,13.51637,1056000.0,,
2009-03-13,13.078646,13.82145,13.03001,13.817028,1622800.0,,
2009-03-12,12.41985,13.069803,12.158985,13.007903,2173600.0,,
2009-03-11,13.830293,13.830293,12.446379,12.464065,2767800.0,,
2009-03-10,13.388148,13.803764,13.317405,13.803764,1001000.0,,
2009-03-09,13.441205,13.556163,13.24224,13.348355,846200.0,,
2009-03-06,13.834714,13.962936,13.370462,13.57827,929600.0,,
2009-03-05,13.472155,13.794921,13.401412,13.697649,1167200.0,,
2009-03-04,13.498684,13.905457,13.330669,13.724178,917000.0,,
